Prov Capitals	Region	Pop	Area	Dens	Num Com
Ancona	mar	474124	1963.22	242	47
Valle d'Aosta / Vallée d'Aoste	vda	126883	3260.90	39	74
L'Aquila	abr	301910	5047.55	60	108
Bari	pug	1260142	3862.88	326	41
Bologna	emr	1009210	3702.32	273	55
Cagliari	sar	431430	1248.68	346	17
Campobasso	mol	224644	2925.41	77	84
Catanzaro	cal	362343	2415.45	150	80
Firenze	tos	1014423	3513.69	289	42
Genova	lig	850071	1833.79	464	67
Milano	lom	3218201	1575.65	2042	134
Napoli	cam	3107006	1178.93	2635	92
Palermo	sic	1268217	5009.28	253	82
Perugia	umb	660690	6337.15	104	59
Potenza	bas	370680	6594.44	56	100
Roma	laz	4353738	5363.28	812	121
Torino	pie	2277857	6827.00	334	316
Trento	taa	538604	6207.12	87	176
Trieste	fvg	234682	212.51	1104	6
Venezia	ven	854275	2472.91	345	44